Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Norfolk Constabulary,Norfolk,12,2023,10353,6.47,5,9389,90.7,927,9,37,0.4
North Wales Police,North-Wales,12,2023,8636,6.89,4,7373,85.4,1179,13.7,84,1
North Yorkshire Police,North-Yorkshire,12,2023,8659,9.97,7,7357,85,1208,14,94,1.1
Northamptonshire Police,Northamptonshire,12,2023,11318,6.26,4,10233,90.4,1031,9.1,54,0.5
Northumbria Police,Northumbria,12,2023,23475,10.85,7,20106,85.6,2740,11.7,629,2.7
Nottinghamshire Police,Nottinghamshire,12,2023,16794,8.1,5,15069,89.7,1535,9.1,190,1.1
Police Scotland,Scotland,12,2023,60527,9.87,5,51966,85.9,7097,11.7,1464,2.4
Police Service of Northern Ireland,Northern-Ireland,12,2023,18301,8.5,7,15111,82.6,3025,16.5,165,0.9
South Wales Police,South-Wales,12,2023,18409,8.49,4,15893,86.3,2075,11.3,441,2.4
South Yorkshire Police,South-Yorkshire,12,2023,21914,8.8,5,19058,87,2497,11.4,359,1.6
Staffordshire Police,Staffordshire,12,2023,18156,9.21,4,16264,89.6,1362,7.5,530,2.9
Suffolk Constabulary,Suffolk,12,2023,9380,8.5,5,8533,91,661,7,186,2
Surrey Police,Surrey,12,2023,13311,8.77,5,11921,89.6,1125,8.5,265,2
Sussex Police,Sussex,12,2023,21467,7.55,5,20148,93.9,1091,5.1,228,1.1
Thames Valley Police,Thames-Valley,12,2023,30355,11.4,6,25084,82.6,4426,14.6,845,2.8
Warwickshire Police,Warwickshire,12,2023,8177,11.76,7,6833,83.6,1154,14.1,190,2.3
West Mercia Police,West-Mercia,12,2023,15352,18.46,8,11221,73.1,3000,19.5,1131,7.4
West Midlands police,West-Midlands,12,2023,63885,7.32,5,58724,91.9,4674,7.3,487,0.8
West Yorkshire Police,West-Yorkshire,12,2023,39122,6.7,4,35833,91.6,3077,7.9,212,0.5
Wiltshire Police,Wiltshire,12,2023,8254,11.36,5,6776,82.1,1208,14.6,270,3.3
Avon and Somerset Constabulary,Avon-and-Somerset,1,2024,23615,10.05,4,20111,85.2,2754,11.7,750,3.2
