Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Essex Police,Essex,5,2022,25288,12.1,6,19741,78.1,4745,18.8,802,3.2
Gloucestershire Constabulary,Gloucestershire,5,2022,7609,27.1,9,3820,50.2,2862,37.6,927,12.2
Greater Manchester Police,Greater-Manchester,5,2022,48286,25.7,8,32542,67.4,9828,20.4,5916,12.3
Gwent Police,Gwent,5,2022,7511,18.4,5,5810,77.4,1122,14.9,579,7.7
Hampshire Constabulary,Hampshire,5,2022,23512,14.4,9,15477,65.8,7145,30.4,890,3.8
Hertfordshire Constabulary,Hertfordshire,5,2022,14487,14.9,7,10559,72.9,3268,22.6,660,4.6
Humberside Police,Humberside,5,2022,12529,15.1,8,7767,62,4206,33.6,556,4.4
Kent Police,Kent,5,2022,26625,15.8,5,17626,66.2,7526,28.3,1473,5.5
Lancashire Constabulary,Lancashire,5,2022,24044,15,8,14882,61.9,8465,35.2,697,2.9
Leicestershire Police,Leicestershire,5,2022,14912,9.1,4,13098,87.8,1331,8.9,483,3.2
Lincolnshire Police,Lincolnshire,5,2022,9051,6.4,3,8061,89.1,871,9.6,119,1.3
Merseyside Police,Merseyside,5,2022,23667,12.3,4,18542,78.3,4120,17.4,1005,4.2
Metropolitan Police Service,Metropolitan,5,2022,176035,21.1,7,120910,68.7,39649,22.5,15476,8.8
Norfolk Constabulary,Norfolk,5,2022,9535,8.6,5,7817,82,1620,17,98,1
North Wales Police,North-Wales,5,2022,8866,7,4,7381,83.3,1434,16.2,51,0.6
North Yorkshire Police,North-Yorkshire,5,2022,8244,27.9,14,3689,44.7,3551,43.1,1004,12.2
Northamptonshire Police,Northamptonshire,5,2022,10963,7,4,9444,86.1,1448,13.2,71,0.6
Northumbria Police,Northumbria,5,2022,24850,30,9,14066,56.6,7178,28.9,3606,14.5
Nottinghamshire Police,Nottinghamshire,5,2022,17095,8.7,6,14930,87.3,1940,11.3,225,1.3
Police Scotland,Scotland,5,2022,60309,15,7,41192,68.3,16493,27.3,2624,4.4
Police Service of Northern Ireland,Northern-Ireland,5,2022,17126,11,7,12972,75.7,3758,21.9,396,2.3
South Wales Police,South-Wales,5,2022,19886,20.4,4,14633,73.6,3134,15.8,2119,10.7
South Yorkshire Police,South-Yorkshire,5,2022,23701,17.1,10,8942,37.7,13572,57.3,1187,5
Staffordshire Police,Staffordshire,5,2022,16624,27.4,5,12552,75.5,2053,12.3,2019,12.1
Suffolk Constabulary,Suffolk,5,2022,9483,21.9,5,7300,77,1288,13.6,895,9.4
Surrey Police,Surrey,5,2022,12880,8.1,6,11303,87.8,1506,11.7,71,0.6
Sussex Police,Sussex,5,2022,23165,11,8,18483,79.8,4384,18.9,298,1.3
Thames Valley Police,Thames-Valley,5,2022,30039,11.9,6,24355,81.1,4762,15.9,922,3.1
Warwickshire Police,Warwickshire,5,2022,7550,13.3,8,5609,74.3,1750,23.2,191,2.5
West Mercia Police,West-Mercia,5,2022,14201,12.5,8,11062,77.9,2749,19.4,390,2.7
West Midlands police,West-Midlands,5,2022,58563,36.6,9,30111,51.4,16394,28,12058,20.6
West Yorkshire Police,West-Yorkshire,5,2022,42402,12,7,32490,76.6,9189,21.7,723,1.7
Wiltshire Police,Wiltshire,5,2022,7146,16.3,8,4649,65.1,2120,29.7,377,5.3
Avon and Somerset Constabulary,Avon-and-Somerset,6,2022,24821,7.6,4,21752,87.6,2672,10.8,397,1.6
Bedfordshire Police,Bedfordshire,6,2022,9713,21.8,4,6492,66.8,2259,23.3,962,9.9
Cambridgeshire Constabulary,Cambridgeshire,6,2022,12042,12.4,5,9649,80.1,1860,15.4,533,4.4
Cheshire Constabulary,Cheshire,6,2022,12412,11.1,6,10302,83,1741,14,369,3
Cleveland Police,Cleveland,6,2022,9363,9.7,5,7185,76.7,2048,21.9,130,1.4
Cumbria Constabulary,Cumbria,6,2022,5903,10.8,7,4801,81.3,1005,17,97,1.6
Derbyshire Constabulary,Derbyshire,6,2022,14042,11.4,9,7904,56.3,6035,43,103,0.7
Devon & Cornwall Police,Devon-and-Cornwall,6,2022,23358,30.5,8,14737,63.1,5459,23.4,3162,13.5
Dorset Police,Dorset,6,2022,10558,15.8,8,6679,63.3,3398,32.2,481,4.6
Durham Constabulary,Durham,6,2022,8446,23.5,10,3148,37.3,4432,52.5,866,10.3
Dyfed-Powys Police,Dyfed-Powys,6,2022,4846,8.1,4,4127,85.2,621,12.8,98,2
Essex Police,Essex,6,2022,25606,11.7,6,20321,79.4,4548,17.8,737,2.9
Gloucestershire Constabulary,Gloucestershire,6,2022,7471,27.7,9,3736,50,2838,38,897,12
Greater Manchester Police,Greater-Manchester,6,2022,46914,26.3,8,30171,64.3,10513,22.4,6230,13.3
Gwent Police,Gwent,6,2022,7719,20.3,6,5699,73.8,1361,17.6,659,8.5
Hampshire Constabulary,Hampshire,6,2022,23869,15.8,9,14625,61.3,8134,34.1,1110,4.7
Hertfordshire Constabulary,Hertfordshire,6,2022,15265,16.3,4,10315,67.6,3891,25.5,1059,6.9
Humberside Police,Humberside,6,2022,13279,12.4,5,10220,77,2582,19.4,477,3.6
Kent Police,Kent,6,2022,26170,18.9,5,16637,63.6,7411,28.3,2122,8.1
Lancashire Constabulary,Lancashire,6,2022,24529,20.7,9,13003,53,9847,40.1,1679,6.8
Leicestershire Police,Leicestershire,6,2022,12081,10.8,4,10355,85.7,1224,10.1,502,4.2
Lincolnshire Police,Lincolnshire,6,2022,8881,7.1,3,7700,86.7,1037,11.7,144,1.6
Merseyside Police,Merseyside,6,2022,22505,11.1,4,17771,79,3915,17.4,819,3.6
Metropolitan Police Service,Metropolitan,6,2022,165617,31.1,7,97996,59.2,44531,26.9,23090,13.9
Norfolk Constabulary,Norfolk,6,2022,10103,10,5,7827,77.5,2119,21,157,1.6
North Wales Police,North-Wales,6,2022,8678,7.2,4,7145,82.3,1488,17.1,45,0.5
North Yorkshire Police,North-Yorkshire,6,2022,9024,35.4,23,2890,32,4539,50.3,1595,17.7
Northamptonshire Police,Northamptonshire,6,2022,11180,7.9,4,9023,80.7,2077,18.6,80,0.7
Northumbria Police,Northumbria,6,2022,25026,27.6,9,14188,56.7,7595,30.3,3243,13
Nottinghamshire Police,Nottinghamshire,6,2022,16990,8.8,6,14760,86.9,2012,11.8,218,1.3
Police Scotland,Scotland,6,2022,60039,14.3,7,42882,71.4,14570,24.3,2587,4.3
Police Service of Northern Ireland,Northern-Ireland,6,2022,17538,9.8,7,13628,77.7,3632,20.7,278,1.6
South Wales Police,South-Wales,6,2022,19105,18,4,14108,73.8,3255,17,1742,9.1
South Yorkshire Police,South-Yorkshire,6,2022,23279,13.7,6,16910,72.6,5306,22.8,1063,4.6
Staffordshire Police,Staffordshire,6,2022,17045,25.3,5,13237,77.7,1973,11.6,1835,10.8
Suffolk Constabulary,Suffolk,6,2022,10308,24,5,7655,74.3,1611,15.6,1042,10.1
Surrey Police,Surrey,6,2022,13656,9.6,6,11360,83.2,2116,15.5,180,1.3
Sussex Police,Sussex,6,2022,23867,11.2,8,18660,78.2,4914,20.6,293,1.2
Thames Valley Police,Thames-Valley,6,2022,29782,14.3,6,22617,75.9,5726,19.2,1439,4.8
Warwickshire Police,Warwickshire,6,2022,8316,13.3,8,5863,70.5,2292,27.6,161,1.9
West Mercia Police,West-Mercia,6,2022,14145,13.6,8,10772,76.2,2888,20.4,485,3.4
West Midlands police,West-Midlands,6,2022,59347,36.2,7,33829,57,13744,23.2,11774,19.8
West Yorkshire Police,West-Yorkshire,6,2022,27977,12.2,7,19209,75.1,5896,23,479,1.9
Wiltshire Police,Wiltshire,6,2022,7240,17.8,8,4565,63.1,2240,30.9,435,6
Avon and Somerset Constabulary,Avon-and-Somerset,7,2022,27748,10.8,4,23013,82.9,3720,13.4,1015,3.7
Bedfordshire Police,Bedfordshire,7,2022,10996,30.3,4,7036,64,2348,21.4,1612,14.7
Cambridgeshire Constabulary,Cambridgeshire,7,2022,13018,15.3,4,10139,77.9,2015,15.5,864,6.6
Cheshire Constabulary,Cheshire,7,2022,13680,12.2,8,10275,75.1,3045,22.3,360,2.6
Cleveland Police,Cleveland,7,2022,10228,9.3,5,7919,77.4,2189,21.4,120,1.2
Cumbria Constabulary,Cumbria,7,2022,6664,11.8,7,4987,74.8,1557,23.4,120,1.8
Derbyshire Constabulary,Derbyshire,7,2022,15322,13.7,10,7421,48.4,7592,49.5,309,2
Devon & Cornwall Police,Devon-and-Cornwall,7,2022,24996,35.8,8,14911,59.7,5994,24,4091,16.4
Dorset Police,Dorset,7,2022,10821,23.1,9,6528,60.3,3444,31.8,849,7.8
Durham Constabulary,Durham,7,2022,9214,16.6,9,5206,56.5,3513,38.1,495,5.4
Dyfed-Powys Police,Dyfed-Powys,7,2022,5520,10.4,4,4464,80.9,868,15.7,188,3.4
Essex Police,Essex,7,2022,29273,11.4,6,23052,78.7,5483,18.7,738,2.5
Gloucestershire Constabulary,Gloucestershire,7,2022,8442,38.1,14,3408,40.4,3445,40.8,1589,18.8
Greater Manchester Police,Greater-Manchester,7,2022,51054,15.3,7,39350,77.1,8857,17.3,2847,5.6
Gwent Police,Gwent,7,2022,9271,23.5,6,6743,72.7,1591,17.2,937,10.1
Hampshire Constabulary,Hampshire,7,2022,26788,22.1,9,14458,54,9996,37.3,2334,8.7
Hertfordshire Constabulary,Hertfordshire,7,2022,16381,16.7,4,10823,66.1,4393,26.8,1165,7.1
Humberside Police,Humberside,7,2022,14290,12.6,5,10766,75.3,2968,20.8,556,3.9
Kent Police,Kent,7,2022,27833,20.1,5,18169,65.3,7250,26,2414,8.7
Lancashire Constabulary,Lancashire,7,2022,26444,21.6,10,12137,45.9,12381,46.8,1926,7.3
Leicestershire Police,Leicestershire,7,2022,15747,11.9,4,13246,84.1,1753,11.1,748,4.8
Lincolnshire Police,Lincolnshire,7,2022,10377,9.1,3,8348,80.4,1773,17.1,256,2.5
Merseyside Police,Merseyside,7,2022,24849,15.3,4,17791,71.6,5530,22.3,1528,6.1
Metropolitan Police Service,Metropolitan,7,2022,175781,37.9,8,99559,56.6,47924,27.3,28298,16.1
Norfolk Constabulary,Norfolk,7,2022,11677,10.9,5,8765,75.1,2647,22.7,265,2.3
North Wales Police,North-Wales,7,2022,10341,8.1,5,7972,77.1,2282,22.1,87,0.8
North Yorkshire Police,North-Yorkshire,7,2022,9446,27.8,17,3769,39.9,4624,49,1053,11.1
Northamptonshire Police,Northamptonshire,7,2022,11817,8.2,4,9520,80.6,2205,18.7,92,0.8
Northumbria Police,Northumbria,7,2022,26450,25.6,9,14902,56.3,8551,32.3,2997,11.3
Nottinghamshire Police,Nottinghamshire,7,2022,18577,8.8,6,16162,87,2170,11.7,245,1.3
Police Scotland,Scotland,7,2022,62711,10.7,6,50137,79.9,11012,17.6,1562,2.5
Police Service of Northern Ireland,Northern-Ireland,7,2022,18489,9.2,7,14325,77.5,4007,21.7,157,0.8
South Wales Police,South-Wales,7,2022,22310,25.9,4,14615,65.5,4552,20.4,3143,14.1
South Yorkshire Police,South-Yorkshire,7,2022,25191,14.8,6,17674,70.2,6165,24.5,1352,5.4
Staffordshire Police,Staffordshire,7,2022,17075,37.1,5,12232,71.6,2105,12.3,2738,16
Suffolk Constabulary,Suffolk,7,2022,10841,24.5,5,8040,74.2,1694,15.6,1107,10.2
Surrey Police,Surrey,7,2022,14866,13.3,7,11038,74.2,3350,22.5,478,3.2
Sussex Police,Sussex,7,2022,28070,15.4,8,19955,71.1,6845,24.4,1270,4.5
Thames Valley Police,Thames-Valley,7,2022,32828,16.4,7,23716,72.2,7111,21.7,2001,6.1
Warwickshire Police,Warwickshire,7,2022,8878,13.7,8,6132,69.1,2540,28.6,206,2.3
West Mercia Police,West-Mercia,7,2022,15345,15,8,11307,73.7,3390,22.1,648,4.2
West Midlands police,West-Midlands,7,2022,62096,34.1,7,38577,62.1,12467,20.1,11052,17.8
West Yorkshire Police,West-Yorkshire,7,2022,45503,13.8,8,32344,71.1,11972,26.3,1187,2.6
Wiltshire Police,Wiltshire,7,2022,8210,17.6,9,4795,58.4,2946,35.9,469,5.7
Avon and Somerset Constabulary,Avon-and-Somerset,8,2022,28215,8.1,4,24472,86.7,3193,11.3,550,1.9
Bedfordshire Police,Bedfordshire,8,2022,10380,29.6,5,6603,63.6,2245,21.6,1532,14.8
Cambridgeshire Constabulary,Cambridgeshire,8,2022,13001,11.9,4,10501,80.8,1924,14.8,576,4.4
Cheshire Constabulary,Cheshire,8,2022,13773,13.1,7,10747,78,2586,18.8,440,3.2
Cleveland Police,Cleveland,8,2022,10419,9.8,5,8150,78.2,2081,20,188,1.8
Cumbria Constabulary,Cumbria,8,2022,6577,10.3,6,5354,81.4,1124,17.1,99,1.5
Derbyshire Constabulary,Derbyshire,8,2022,14677,11.5,9,8276,56.4,6274,42.7,127,0.9
Devon & Cornwall Police,Devon-and-Cornwall,8,2022,25681,33.3,8,15234,59.3,6502,25.3,3945,15.4
Dorset Police,Dorset,8,2022,11422,24.7,9,6679,58.5,3760,32.9,983,8.6
Durham Constabulary,Durham,8,2022,8917,15.5,8,6251,70.1,2189,24.5,477,5.3
Dyfed-Powys Police,Dyfed-Powys,8,2022,5903,11.5,4,4727,80.1,958,16.2,218,3.7
Essex Police,Essex,8,2022,27861,12,6,21772,78.1,5242,18.8,847,3
Gloucestershire Constabulary,Gloucestershire,8,2022,8898,37.9,14,3579,40.2,3660,41.1,1659,18.6
Greater Manchester Police,Greater-Manchester,8,2022,52904,12.9,7,42741,80.8,8098,15.3,2065,3.9
Gwent Police,Gwent,8,2022,9301,19.7,5,7113,76.5,1453,15.6,735,7.9
Hampshire Constabulary,Hampshire,8,2022,27398,23.2,9,14177,51.7,10609,38.7,2612,9.5
Hertfordshire Constabulary,Hertfordshire,8,2022,15258,9.6,4,12619,82.7,2273,14.9,366,2.4
Humberside Police,Humberside,8,2022,14112,11.7,5,10922,77.4,2711,19.2,479,3.4
Kent Police,Kent,8,2022,28263,16.4,5,19429,68.7,7062,25,1772,6.3
Lancashire Constabulary,Lancashire,8,2022,26652,27.8,13,9794,36.7,13778,51.7,3080,11.6
Leicestershire Police,Leicestershire,8,2022,17308,13,4,14496,83.8,1882,10.9,930,5.4
Lincolnshire Police,Lincolnshire,8,2022,10461,9.1,3,8590,82.1,1605,15.3,266,2.5
Merseyside Police,Merseyside,8,2022,25193,16.3,5,17877,71,5627,22.3,1689,6.7
Metropolitan Police Service,Metropolitan,8,2022,170389,31,7,104442,61.3,43191,25.3,22756,13.4
Norfolk Constabulary,Norfolk,8,2022,11518,11.2,5,8599,74.7,2629,22.8,290,2.5
North Wales Police,North-Wales,8,2022,10516,8.6,5,8036,76.4,2372,22.6,108,1
North Yorkshire Police,North-Yorkshire,8,2022,9939,25.7,14,4336,43.6,4607,46.4,996,10
Northamptonshire Police,Northamptonshire,8,2022,11820,9.5,4,9162,77.5,2516,21.3,142,1.2
Northumbria Police,Northumbria,8,2022,25706,20.3,9,15450,60.1,8219,32,2037,7.9
Nottinghamshire Police,Nottinghamshire,8,2022,18539,9.8,6,15494,83.6,2717,14.7,328,1.8
Police Scotland,Scotland,8,2022,62835,12.3,6,48220,76.7,12364,19.7,2251,3.6
Police Service of Northern Ireland,Northern-Ireland,8,2022,18711,9.7,7,14138,75.6,4330,23.1,243,1.3
South Wales Police,South-Wales,8,2022,22317,16.4,4,16144,72.3,4354,19.5,1819,8.2
South Yorkshire Police,South-Yorkshire,8,2022,24163,12.6,5,18090,74.9,5134,21.2,939,3.9
Staffordshire Police,Staffordshire,8,2022,17595,37,5,12354,70.2,2323,13.2,2918,16.6
Suffolk Constabulary,Suffolk,8,2022,11049,27.9,5,8028,72.7,1715,15.5,1306,11.8
Surrey Police,Surrey,8,2022,14208,10.1,6,11524,81.1,2474,17.4,210,1.5
Sussex Police,Sussex,8,2022,27287,16.8,8,18613,68.2,7317,26.8,1357,5
Thames Valley Police,Thames-Valley,8,2022,32905,14.4,6,25124,76.4,6162,18.7,1619,4.9
Warwickshire Police,Warwickshire,8,2022,9208,13.9,8,6533,70.9,2409,26.2,266,2.9
West Mercia Police,West-Mercia,8,2022,14311,19.6,9,9038,63.2,4203,29.4,1070,7.5
West Midlands police,West-Midlands,8,2022,62499,34,7,38802,62.1,12932,20.7,10765,17.2
West Yorkshire Police,West-Yorkshire,8,2022,45048,12.4,7,33307,73.9,10974,24.4,767,1.7
Wiltshire Police,Wiltshire,8,2022,8030,16.7,9,4821,60,2758,34.3,451,5.6
Avon and Somerset Constabulary,Avon-and-Somerset,9,2022,24773,6.9,4,22275,89.9,2176,8.8,322,1.3
Bedfordshire Police,Bedfordshire,9,2022,10349,30.6,4,6700,64.7,2107,20.4,1542,14.9
Cambridgeshire Constabulary,Cambridgeshire,9,2022,11617,11.1,4,9417,81.1,1785,15.4,415,3.6
Cheshire Constabulary,Cheshire,9,2022,11808,11.6,7,9450,80,2060,17.4,298,2.5
Cleveland Police,Cleveland,9,2022,8961,8.4,4,7430,82.9,1416,15.8,115,1.3
Cumbria Constabulary,Cumbria,9,2022,5655,9,6,4837,85.5,762,13.5,56,1
Derbyshire Constabulary,Derbyshire,9,2022,12974,12.4,9,7288,56.2,5484,42.3,202,1.6
Devon & Cornwall Police,Devon-and-Cornwall,9,2022,21437,23.1,7,14575,68,4853,22.6,2009,9.4
Dorset Police,Dorset,9,2022,7745,20.4,8,4985,64.4,2196,28.4,564,7.3
Durham Constabulary,Durham,9,2022,7497,13.8,8,5650,75.4,1529,20.4,318,4.2
Dyfed-Powys Police,Dyfed-Powys,9,2022,4548,8.1,4,3812,83.8,660,14.5,76,1.7
Essex Police,Essex,9,2022,24762,9.6,6,20992,84.8,3356,13.6,414,1.7
Gloucestershire Constabulary,Gloucestershire,9,2022,7669,32.6,12,3313,43.2,3135,40.9,1221,15.9
Greater Manchester Police,Greater-Manchester,9,2022,47419,11,6,40020,84.4,5768,12.2,1631,3.4
Gwent Police,Gwent,9,2022,8143,19.4,5,6268,77,1214,14.9,661,8.1
Hampshire Constabulary,Hampshire,9,2022,23328,16.1,9,14551,62.4,7679,32.9,1098,4.7
Hertfordshire Constabulary,Hertfordshire,9,2022,13450,8.1,4,11463,85.2,1793,13.3,194,1.4
Humberside Police,Humberside,9,2022,12175,10.4,5,9817,80.6,2045,16.8,313,2.6
Kent Police,Kent,9,2022,24478,18.4,5,16344,66.8,6091,24.9,2043,8.3
Lancashire Constabulary,Lancashire,9,2022,23614,24.8,11,9905,41.9,11425,48.4,2284,9.7
Leicestershire Police,Leicestershire,9,2022,15099,11.5,4,12988,86,1445,9.6,666,4.4
Lincolnshire Police,Lincolnshire,9,2022,8662,7.3,3,7616,87.9,869,10,177,2
Merseyside Police,Merseyside,9,2022,22317,14.2,4,16419,73.6,4672,20.9,1226,5.5
Metropolitan Police Service,Metropolitan,9,2022,170392,21.7,7,117126,68.7,37951,22.3,15315,9
Norfolk Constabulary,Norfolk,9,2022,9984,11.2,5,7591,76,2117,21.2,276,2.8
North Wales Police,North-Wales,9,2022,8549,8,4,6677,78.1,1816,21.2,56,0.7
North Yorkshire Police,North-Yorkshire,9,2022,8391,24.3,12,3811,45.4,3838,45.7,742,8.8
Northamptonshire Police,Northamptonshire,9,2022,10495,9.3,5,7890,75.2,2497,23.8,108,1
Northumbria Police,Northumbria,9,2022,23724,21.6,9,14158,59.7,7384,31.1,2182,9.2
Nottinghamshire Police,Nottinghamshire,9,2022,15897,9.2,6,13743,86.5,1889,11.9,265,1.7
Police Scotland,Scotland,9,2022,58259,11.6,6,45854,78.7,10444,17.9,1961,3.4
Police Service of Northern Ireland,Northern-Ireland,9,2022,15775,8.7,7,12389,78.5,3286,20.8,100,0.6
South Wales Police,South-Wales,9,2022,19138,15.2,4,14360,75,3386,17.7,1392,7.3
South Yorkshire Police,South-Yorkshire,9,2022,23156,12.3,5,17826,77,4413,19.1,917,4
Staffordshire Police,Staffordshire,9,2022,16193,28.5,5,12139,75,1964,12.1,2090,12.9
Suffolk Constabulary,Suffolk,9,2022,9403,18.5,5,7403,78.7,1261,13.4,739,7.9
Surrey Police,Surrey,9,2022,12761,12.5,7,10152,79.6,2211,17.3,398,3.1
Sussex Police,Sussex,9,2022,23419,16.4,8,16095,68.7,6158,26.3,1166,5
Thames Valley Police,Thames-Valley,9,2022,28121,12.3,6,22632,80.5,4514,16.1,975,3.5
Warwickshire Police,Warwickshire,9,2022,7915,12.9,8,5925,74.9,1812,22.9,178,2.2
West Mercia Police,West-Mercia,9,2022,14293,14.1,8,10683,74.7,3069,21.5,541,3.8
West Midlands police,West-Midlands,9,2022,58853,26.8,6,39605,67.3,11050,18.8,8198,13.9
West Yorkshire Police,West-Yorkshire,9,2022,40054,11.8,7,30973,77.3,8303,20.7,778,1.9
Wiltshire Police,Wiltshire,9,2022,7038,19.3,8,4532,64.4,1997,28.4,509,7.2
Avon and Somerset Constabulary,Avon-and-Somerset,10,2022,26906,8.9,4,23332,86.7,2957,10.9,617,2.2
Bedfordshire Police,Bedfordshire,10,2022,10670,44.7,5,5978,56,2085,19.5,2607,24.4
Cambridgeshire Constabulary,Cambridgeshire,10,2022,12049,11.5,4,9627,79.8,1964,16.3,458,3.8
Cheshire Constabulary,Cheshire,10,2022,12838,12.6,7,9926,77.3,2516,19.5,396,3
Cleveland Police,Cleveland,10,2022,9936,8.3,4,8220,82.7,1588,15.9,128,1.2
Cumbria Constabulary,Cumbria,10,2022,5805,9.2,6,4892,84.2,863,14.8,50,0.8
Derbyshire Constabulary,Derbyshire,10,2022,14383,10.5,8,8796,61.1,5487,38.1,100,0.6
Devon & Cornwall Police,Devon-and-Cornwall,10,2022,19586,31.7,8,12095,61.7,4603,23.5,2888,14.7
Dorset Police,Dorset,10,2022,10510,18.6,8,6712,63.8,3145,29.9,653,6.2
Durham Constabulary,Durham,10,2022,8186,15.9,8,5779,70.5,1942,23.7,465,5.6
Dyfed-Powys Police,Dyfed-Powys,10,2022,4952,9.1,4,4054,81.8,786,15.8,112,2.2
Essex Police,Essex,10,2022,27117,11.7,6,21495,79.2,4876,17.9,746,2.7
Gloucestershire Constabulary,Gloucestershire,10,2022,8040,31.7,11,3851,47.8,2961,36.8,1228,15.2
Greater Manchester Police,Greater-Manchester,10,2022,50629,11.2,4,43008,84.9,5447,10.7,2174,4.2
Gwent Police,Gwent,10,2022,8131,24.4,5,6185,76,1131,13.9,815,10
Hampshire Constabulary,Hampshire,10,2022,24662,18.9,9,13817,56,9217,37.3,1628,6.6
Hertfordshire Constabulary,Hertfordshire,10,2022,15006,9.1,4,12466,83,2245,14.9,295,1.9
Humberside Police,Humberside,10,2022,12480,8.8,5,10550,84.5,1712,13.7,218,1.7
Kent Police,Kent,10,2022,25608,22.7,6,16007,62.5,6626,25.8,2975,11.6
Lancashire Constabulary,Lancashire,10,2022,24894,21.9,10,11655,46.8,11309,45.4,1930,7.7
Leicestershire Police,Leicestershire,10,2022,17102,14.5,4,14112,82.5,1932,11.2,1058,6.1
Lincolnshire Police,Lincolnshire,10,2022,9161,8.5,3,7782,84.9,1143,12.4,236,2.5
Merseyside Police,Merseyside,10,2022,24853,21.9,5,16132,64.9,6058,24.3,2663,10.7
Metropolitan Police Service,Metropolitan,10,2022,182830,28.8,7,113569,62.1,46126,25.2,23135,12.6
Norfolk Constabulary,Norfolk,10,2022,10692,11.2,5,8093,75.6,2318,21.6,281,2.6
North Wales Police,North-Wales,10,2022,8917,8.3,4,6948,77.9,1881,21,88,0.9
North Yorkshire Police,North-Yorkshire,10,2022,8547,24.3,13,3814,44.6,3950,46.2,783,9.1
Northamptonshire Police,Northamptonshire,10,2022,11608,10.2,5,8464,72.9,2966,25.5,178,1.5
Northumbria Police,Northumbria,10,2022,25465,18.6,9,16112,63.2,7523,29.5,1830,7.1
Nottinghamshire Police,Nottinghamshire,10,2022,17536,9.8,6,14825,84.5,2383,13.5,328,1.8
Police Scotland,Scotland,10,2022,58007,11.6,6,45468,78.3,10789,18.5,1750,3
Police Service of Northern Ireland,Northern-Ireland,10,2022,16610,8.4,7,13148,79.1,3371,20.2,91,0.5
South Wales Police,South-Wales,10,2022,19804,15.4,4,14594,73.6,3780,19,1430,7.2
South Yorkshire Police,South-Yorkshire,10,2022,24296,11.6,5,19144,78.7,4260,17.5,892,3.6
Staffordshire Police,Staffordshire,10,2022,17796,20.2,5,14038,78.8,2219,12.4,1539,8.6
Suffolk Constabulary,Suffolk,10,2022,10128,26.4,5,7397,73,1542,15.2,1189,11.7
Surrey Police,Surrey,10,2022,13394,12.5,7,10369,77.4,2642,19.7,383,2.8
Sussex Police,Sussex,10,2022,24171,20,8,15471,64,6877,28.4,1823,7.5
Thames Valley Police,Thames-Valley,10,2022,30447,13.3,6,23632,77.6,5563,18.2,1252,4.1
Warwickshire Police,Warwickshire,10,2022,8199,11.5,8,6345,77.3,1739,21.2,115,1.4
West Mercia Police,West-Mercia,10,2022,14849,13.9,8,11046,74.3,3281,22,522,3.5
West Midlands police,West-Midlands,10,2022,64236,25.5,6,42789,66.6,13164,20.4,8283,12.8
West Yorkshire Police,West-Yorkshire,10,2022,43334,9.3,4,36075,83.2,6335,14.6,924,2.1
Wiltshire Police,Wiltshire,10,2022,7528,17.8,8,4679,62.1,2433,32.3,416,5.5
Avon and Somerset Constabulary,Avon-and-Somerset,11,2022,24978,6.9,4,22468,90,2217,8.9,293,1.2
Bedfordshire Police,Bedfordshire,11,2022,10233,38.6,5,6286,61.4,1785,17.4,2162,21.1
Cambridgeshire Constabulary,Cambridgeshire,11,2022,11621,10.2,4,9652,83.1,1613,13.9,356,3.1
Cheshire Constabulary,Cheshire,11,2022,12138,13.3,8,8726,71.9,3001,24.7,411,3.4
Cleveland Police,Cleveland,11,2022,9072,6.5,4,7991,88.1,1022,11.3,59,0.7
Cumbria Constabulary,Cumbria,11,2022,5383,8.4,6,4681,87,670,12.4,32,0.6
Derbyshire Constabulary,Derbyshire,11,2022,13440,9.6,7,8881,66.1,4492,33.4,67,0.5
Devon & Cornwall Police,Devon-and-Cornwall,11,2022,20841,32.5,8,13103,62.9,4709,22.6,3029,14.5
Dorset Police,Dorset,11,2022,9892,13.1,8,7037,71.1,2600,26.3,255,2.6
Durham Constabulary,Durham,11,2022,7661,13,8,5904,77.1,1484,19.4,273,3.6
Dyfed-Powys Police,Dyfed-Powys,11,2022,4607,8.3,4,3872,84,655,14.2,80,1.7
Essex Police,Essex,11,2022,25874,13.7,6,19732,76.3,4988,19.3,1154,4.5
Gloucestershire Constabulary,Gloucestershire,11,2022,7217,32.1,10,3562,49.4,2541,35.2,1114,15.4
Greater Manchester Police,Greater-Manchester,11,2022,47950,12.2,4,40030,83.5,5399,11.3,2521,5.3
Gwent Police,Gwent,11,2022,7449,18.2,6,5755,77.3,1161,15.6,533,7.2
Hampshire Constabulary,Hampshire,11,2022,23214,16.8,9,13715,59.1,8285,35.7,1214,5.2
Hertfordshire Constabulary,Hertfordshire,11,2022,14342,8.3,4,12166,84.8,2002,14,174,1.2
Humberside Police,Humberside,11,2022,11952,8.7,4,10043,84,1734,14.5,175,1.5
Kent Police,Kent,11,2022,24706,19.6,5,16895,68.4,5382,21.8,2429,9.8
Lancashire Constabulary,Lancashire,11,2022,22508,15.4,8,14355,63.8,7281,32.3,872,3.9
Leicestershire Police,Leicestershire,11,2022,16283,13.9,4,13656,83.9,1680,10.3,947,5.8
